"id","external_author_id","author","content","translation","is_translated","region","language","publish_date","harvested_date","following","followers","updates","post_type","account_type","new_june_2018","retweet","account_category"
"4755","1660771422","GarrettSimpson_","In a welcomed move the #Israeli government extended the term of office of #IDF Chief of Staff, Lt. Gen. Gadi #Eizenkot https://t.co/B6DK4ExZNL",,"0","United States","English","2017-01-18 22:47:00","2017-01-18 22:47:00","1782","1715","3525","RETWEET","Right","0","1","RightTroll"
"4870","1660771422","GarrettSimpson_","The Trump administration is considering moving the U.S. embassy in Israel to Jerusalem. Here's what that would mean. https://t.co/uXW1FQMLwB https://t.co/r0rF6YlVU2",,"0","United States","English","2017-01-23 23:11:00","2017-01-23 23:11:00","1783","1717","3609","RETWEET","Right","0","1","RightTroll"
"4950","1660771422","GarrettSimpson_","Ramadan Bomb-A-Thon vs. Israel Life-A-Thon Retweets https://t.co/V1U6NHvvpd @TheUnitedWest #tcot #MakeDCListen",,"0","United States","English","2016-01-28 16:04:00","2016-01-28 16:04:00","214","325","924","RETWEET","Right","0","1","RightTroll"
"5058","1660771422","GarrettSimpson_",".@netanyahu tweets in support of @POTUS. https://t.co/TWV4GxmSVg",,"0","United States","English","2017-01-29 23:41:00","2017-01-29 23:41:00","1780","1706","3712","RETWEET","Right","0","1","RightTroll"
"5126","1660771422","GarrettSimpson_","Strong Fighting Words for Israel From Gov. Mike Huckabee! – Israel Video Network https://t.co/TcCFtfwrdM",,"0","United States","English","2017-01-04 03:44:00","2017-01-04 03:44:00","1786","1711","3277","RETWEET","Right","0","1","RightTroll"
"5132","1660771422","GarrettSimpson_","Neo-Nazi website: Hamas member will speak at armed march in Montana to harass Jewish community https://t.co/I7xmUUpdEy via @IsraelNewsNow",,"0","United States","English","2017-01-05 21:54:00","2017-01-05 21:54:00","1788","1716","3310","RETWEET","Right","0","1","RightTroll"
"5179","1660771422","GarrettSimpson_","Wouldn't it be gratifying if #POTUS & henchman #Kerry understood that this is true not only of #Israel but of #USA? https://t.co/3DHYWZ2T32",,"0","United States","English","2016-01-07 14:30:00","2016-01-07 14:30:00","712","306","807","RETWEET","Right","0","1","RightTroll"
"5185","1660771422","GarrettSimpson_","YES!  CRUZ SPEAKS TRUTH!   In Senate, Ted Cruz drops bombs all over Obama anti-Israel legacy! https://t.co/vEphslNQBx",,"0","United States","English","2017-01-07 16:06:00","2017-01-07 16:06:00","1788","1722","3333","RETWEET","Right","0","1","RightTroll"
"5311","1660771422","GarrettSimpson_","Please add your voices in protest against an absurd #UNESCO resolution denying the #Jewish connection to Jerusalem. https://t.co/qFXA0zTHMG",,"0","United States","English","2016-10-14 13:16:00","2016-10-14 13:16:00","1340","1601","1880","RETWEET","Right","0","1","RightTroll"
"5334","1660771422","GarrettSimpson_","WATCH: Netanyahu blasts UN for ‘absurd’ resolution on Jerusalem  https://t.co/LQudwku0LC",,"0","United States","English","2016-10-15 19:21:00","2016-10-15 19:21:00","1340","1597","1896","RETWEET","Right","0","1","RightTroll"
"5342","1660771422","GarrettSimpson_","Tell me more about Turkish brutality against the Kurdish minority sweetie @laikkiz @Israelkicksass @EvaAdva @susskindbatzi @redbrasco https://t.co/DO861iTiPR",,"0","United States","English","2016-10-16 13:24:00","2016-10-16 13:24:00","1340","1596","1914","RETWEET","Right","0","1","RightTroll"
"5436","1660771422","GarrettSimpson_","Palestinians: Fatah Prepares for War with Israel  https://t.co/bExggJp1xr https://t.co/YLstAootRX",,"0","United States","English","2016-10-21 07:43:00","2016-10-21 07:43:00","1339","1591","1990","RETWEET","Right","0","1","RightTroll"
"5621","1660771422","GarrettSimpson_","'@worldisraelnews @Chabad and they riot if anyone messes wit their special days. Hypocrites bigots anti semites #lowlifes'",,"0","United States","English","2016-10-06 21:30:00","2016-10-06 21:30:00","1341","1602","1704","RETWEET","Right","0","1","RightTroll"
"5636","1660771422","GarrettSimpson_","FINALLY! The UK suspends millions in aid to the Palestinian Authority over their funding of terror https://t.co/IW4eWdopAg #Israel",,"0","United States","English","2016-10-07 12:47:00","2016-10-07 12:47:00","1341","1607","1764","RETWEET","Right","0","1","RightTroll"
"5697","1660771422","GarrettSimpson_","#BREAKING: #Hezbollah-cell planning to carry out attacks in northern city of #Haifa arrested by #Israel https://t.co/ctVekGBzZu",,"0","United States","English","2016-10-09 00:55:00","2016-10-09 00:55:00","1340","1604","1780","RETWEET","Right","0","1","RightTroll"
"5701","1660771422","GarrettSimpson_","Join us in praying for the victims and their loved ones. #Jerusalem #IndiaWithIsrael https://t.co/iaBUDV0L6N",,"0","United States","English","2016-10-09 12:57:00","2016-10-09 12:57:00","1340","1604","1790","RETWEET","Right","0","1","RightTroll"
"5790","1660771422","GarrettSimpson_",".@TuftsSJP  wants you to think #Israel is to blame for defending itself  #SJPspin https://t.co/bdwmevSZHz",,"0","United States","English","2016-11-14 09:45:00","2016-11-14 09:45:00","1814","1726","2441","RETWEET","Right","0","1","RightTroll"
"5873","1660771422","GarrettSimpson_","I strongly suggest 2 follow the biggest Europe-Israel site (in French) NOW - in English!! Twitter: @EuIsraelEnglish https://t.co/dqOHGA7VgQ",,"0","United States","English","2016-11-18 22:10:00","2016-11-18 22:10:00","1809","1730","2517","RETWEET","Right","0","1","RightTroll"
"5881","1660771422","GarrettSimpson_","'@JAmy208 @Patt294 @Gianlui91580067 @QuintanPedro @AlanZionist @ster2807 @Paveloropeza @coinabs @xandraax @AndreasDefconi https://t.co/HJDLoTNiud'",,"0","United States","English","2016-11-19 22:16:00","2016-11-19 22:16:00","1808","1728","2526","RETWEET","Right","0","1","RightTroll"
"5900","1660771422","GarrettSimpson_","Dried fish pools near the Ein Herod Valley in #Israel, makes a perfect #halloween scene! https://t.co/IGVqDl2xiV",,"0","United States","English","2016-11-02 08:44:00","2016-11-02 08:44:00","1338","1584","2163","RETWEET","Right","0","1","RightTroll"
"5903","1660771422","GarrettSimpson_","The #startup https://t.co/j6jXmlOOXq from #Israel�� invented #LEAF�. Fully Automated 100% Autonomous #Hydroponics #Medical Marijuana Growbox https://t.co/QFdQuEwQKH",,"0","United States","English","2016-11-20 16:22:00","2016-11-20 16:22:00","1808","1725","2536","RETWEET","Right","0","1","RightTroll"
"5905","1660771422","GarrettSimpson_","#WeHadEnough of people using fake propaganda maps to vilify Israel. https://t.co/kyKkavgMkb",,"0","United States","English","2016-11-20 22:23:00","2016-11-20 22:23:00","1807","1723","2539","RETWEET","Right","0","1","RightTroll"
"6034","1660771422","GarrettSimpson_","#India signs $1.4bn weapons & military technology contracts with #Israel   https://t.co/FKJOAUupVI https://t.co/FcSHvF9Umd",,"0","United States","English","2016-11-27 05:45:00","2016-11-27 05:45:00","1806","1721","2663","RETWEET","Right","0","1","RightTroll"
"6057","1660771422","GarrettSimpson_","Russia Be - 200ES in Israeli Hatzor AFB in The Jet Crew`s Camera 28/11/16 - YouTube https://t.co/UJSoLeaTjf",,"0","United States","English","2016-11-29 11:56:00","2016-11-29 11:56:00","1806","1721","2704","RETWEET","Right","0","1","RightTroll"
"6158","1660771422","GarrettSimpson_","Saeb Erekat admits that #Palestine"" is a Trojan horse to #destroy #IsraelNews https://t.co/TxujYOKwBu https://t.co/GIGb5ixWBO",,"0","United States","English","2016-11-08 15:18:00","2016-11-08 15:18:00","1339","1584","2256","RETWEET","Right","0","1","RightTroll"
"6321","1660771422","GarrettSimpson_","Far-right Jewish activist jailed for setting fire to school in Jerusalem https://t.co/V3p0Vx31Jr",,"0","United States","English","2015-12-01 12:26:00","2015-12-01 12:26:00","551","224","694","RETWEET","Right","0","1","RightTroll"
"6411","1660771422","GarrettSimpson_","May’s speech to the Conservative Friends of Israel – full text \| Conservative Home https://t.co/GjHhCYghef",,"0","United States","English","2016-12-14 19:57:00","2016-12-14 19:57:00","1796","1710","2937","RETWEET","Right","0","1","RightTroll"
"6482","1660771422","GarrettSimpson_","Ban Ki-moon admits that the UN has ""disproportionate"" focus on #Israel https://t.co/T9qNwLbvF9",,"0","United States","English","2016-12-18 14:17:00","2016-12-18 14:17:00","1793","1709","3003","RETWEET","Right","0","1","RightTroll"
"6491","1660771422","GarrettSimpson_","The truth about Israeli Arabs - Opinion - Jerusalem Post https://t.co/j1eotI6p0b",,"0","United States","English","2016-12-18 08:16:00","2016-12-18 08:16:00","1793","1710","2997","RETWEET","Right","0","1","RightTroll"
"6534","1660771422","GarrettSimpson_","GOD has planted Israel in their own land -- NEVER to be uprooted again!   #StandWithIsrael #PJNET #RenewUS   https://t.co/T8Bv46DebV",,"0","United States","English","2016-12-20 14:30:00","2016-12-20 14:31:00","1793","1708","3038","RETWEET","Right","0","1","RightTroll"
"6556","1660771422","GarrettSimpson_","Tourism Minister Yariv Levin:""I welcome the thousands who are expected to arrive in Israel for... Christmas"" https://t.co/cbMmADlisS",,"0","United States","English","2015-12-21 15:58:00","2015-12-21 15:58:00","464","237","770","RETWEET","Right","0","1","RightTroll"
"6597","1660771422","GarrettSimpson_","Israeli Olympian medalist donates Rio jacket and gives $100k to disabled children https://t.co/cHlf1fufPc #Israel #Olympics",,"0","United States","English","2016-12-22 08:39:00","2016-12-22 08:39:00","1791","1707","3068","RETWEET","Right","0","1","RightTroll"
"6616","1660771422","GarrettSimpson_","#Israel aid group help #Yazidi victims of #ISIS abuse. These women have survived unbearable torture &amp; sexual abuse https://t.co/rcSdSGNsQD",,"0","United States","English","2016-12-23 08:43:00","2016-12-23 08:44:00","1791","1710","3080","RETWEET","Right","0","1","RightTroll"
"6651","1660771422","GarrettSimpson_","'@shlomikliab The Israel haters are very upset about Jewish Construction but silent on Arab Destruction. @sallykohn'",,"0","United States","English","2016-12-25 08:51:00","2016-12-25 08:51:00","1791","1718","3113","RETWEET","Right","0","1","RightTroll"
"6680","1660771422","GarrettSimpson_","Greek Orthodox patriarch of Jerusalem thanks Israel for guaranteeing ""full freedom of worship"" https://t.co/csWnpDcnzX https://t.co/fxvJ4EJW9k",,"0","United States","English","2016-12-27 21:05:00","2016-12-27 21:05:00","1789","1717","3153","RETWEET","Right","0","1","RightTroll"
"6691","1660771422","GarrettSimpson_","We must stand with Isreal - God's chosen people.  Read the Bible.    #IsraeliSettlements",,"0","United States","English","2016-12-28 21:09:00","2016-12-28 21:09:00","1790","1719","3174","RETWEET","Right","0","1","RightTroll"
"6692","1660771422","GarrettSimpson_","WATCH: Netanyahu SLAMS Kerry’s speech, calls out his LIES on US role in UN resolution, looks forward to TRUMP https://t.co/q2qshLNz0b https://t.co/PUqlbSLQba",,"0","United States","English","2016-12-28 21:09:00","2016-12-28 21:09:00","1790","1719","3171","RETWEET","Right","0","1","RightTroll"
"6693","1660771422","GarrettSimpson_","Make sure we leave Israel the way we left the rest of the Mideast "" It Cannot Be Both""  John Kerry https://t.co/v39vwn6JXE",,"0","United States","English","2016-12-28 21:09:00","2016-12-28 21:10:00","1790","1719","3173","RETWEET","Right","0","1","RightTroll"
"6755","1660771422","GarrettSimpson_","MT @blessisraelnow: #Jerusalem #ARISE! #StillStanding #God #Promised #Prophecy https://t.co/32lhZhPNoy #IStandWithIsrael #PJNET",,"0","United States","English","2016-12-30 03:15:00","2016-12-30 03:15:00","1790","1725","3196","RETWEET","Right","0","1","RightTroll"
"6756","1660771422","GarrettSimpson_","Report: Egyptian Media Have Transcript of Kerry/Rice Colluding With Palestinian Authority Against Israel… \| https://t.co/yrIQdjSv8U",,"0","United States","English","2016-12-30 03:15:00","2016-12-30 03:15:00","1790","1725","3194","RETWEET","Right","0","1","RightTroll"
"6766","1660771422","GarrettSimpson_","#Israel wants peace but the Palestinians do not want their own state if it means accepting the Jewish State. https://t.co/fvFplH3avf",,"0","United States","English","2016-12-31 15:22:00","2016-12-31 15:23:00","1790","1721","3219","RETWEET","Right","0","1","RightTroll"
"6982","1660771422","GarrettSimpson_","#JewsChooseTrump Trump opposes ""any measures intended to impose an agreement"" on Israel https://t.co/sqrJv7dKgV",,"0","United States","English","2017-02-15 10:24:00","2017-02-15 10:24:00","1772","1714","3996","RETWEET","Right","0","1","RightTroll"
"6983","1660771422","GarrettSimpson_","Sure @arakiri786 you're not racist at all &amp; support non-Zionist Jews, which is why you shared this animated Hitler.  https://t.co/iD7zBCKASD",,"0","United States","English","2017-02-15 16:25:00","2017-02-15 16:26:00","1772","1715","4000","RETWEET","Right","0","1","RightTroll"
"7027","1660771422","GarrettSimpson_","Netanyahu  Becuz Of The Rise Of  Radical Islam  ⁉️Who Is Gonna Help Us Powerful Determined Resolved 2 Fight  This Common Enemy It's Israel⁉️ https://t.co/U1Vio5G3kK",,"0","United States","English","2017-02-17 04:35:00","2017-02-17 04:37:00","1771","1714","4021","RETWEET","Right","0","1","RightTroll"
"7129","1660771422","GarrettSimpson_","No free speech in Trinity College Dublin. Mob forces cancellation of talk with Israeli Ambassador. https://t.co/PTnYTipxxQ",,"0","United States","English","2017-02-20 22:53:00","2017-02-20 22:53:00","1771","1712","4078","RETWEET","Right","0","1","RightTroll"
"7149","1660771422","GarrettSimpson_","Despicable: #obama role in #Israeli election lrgr than rprtd",,"0","United States","English","2016-02-22 17:53:00","2016-02-22 17:54:00","495","749","1030",,"Right","0","0","RightTroll"
"7284","1660771422","GarrettSimpson_","Abbas dismisses U.S.-Israeli proposal for regional peace talks https://t.co/6Y1kEj7W0K https://t.co/psayj9CMpD",,"0","United States","English","2017-02-28 00:38:00","2017-02-28 00:38:00","1771","1713","4180","RETWEET","Right","0","1","RightTroll"
"7449","1660771422","GarrettSimpson_","New Israel settlement law further entrenches permanent occupation--""separate but unequal"" treatment for Palestinians https://t.co/T2lbKN7uNK https://t.co/ZcJWiuSLC9",,"0","United States","English","2017-02-07 07:17:00","2017-02-07 07:18:00","1778","1707","3847","RETWEET","Right","0","1","RightTroll"
"7529","1660771422","GarrettSimpson_","ACT NOW! Urge Your Senator to Support a Bill that Counters Boycotts on #Israel #BDSFAIL #BDS https://t.co/7LL8S4DiTI",,"0","United States","English","2017-02-09 07:31:00","2017-02-09 07:31:00","1775","1709","3891","RETWEET","Right","0","1","RightTroll"
"7658","1660771422","GarrettSimpson_","They say on Purim, when you have a few drinks, your 'Mask' comes off to reveal the person you are within...this is #Israel #bdsfail #bds https://t.co/b76DRX2vti",,"0","United States","English","2017-03-14 06:53:00","2017-03-14 06:53:00","1768","1703","4443","RETWEET","Right","0","1","RightTroll"
"7854","1660771422","GarrettSimpson_","Great day engaging w Rochester community abt imp. &amp; timely issues, so grateful for our partners @ Hillel Community Day School &amp; @ROC4Israel https://t.co/JkaNXnC2iy",,"0","United States","English","2017-03-19 01:17:00","2017-03-19 01:17:00","1767","1703","4527","RETWEET","Right","0","1","RightTroll"
"7903","1660771422","GarrettSimpson_","Italian academics reject anti-#Israel boycotts #BDSFAIL #BDS https://t.co/h7Bng7W1oW https://t.co/j10qERybPd",,"0","United States","English","2017-03-20 07:23:00","2017-03-20 07:23:00","1766","1710","4551","RETWEET","Right","0","1","RightTroll"
"7908","1660771422","GarrettSimpson_","HOW DOES ONE ANSWER THIS? ""Do you think that the genocide that Israel committed in the Old Testament was acceptable? Has Israel repented?""",,"0","United States","English","2017-03-21 13:29:00","2017-03-21 13:29:00","1766","1712","4571","RETWEET","Right","0","1","RightTroll"
"7991","1660771422","GarrettSimpson_","The Israeli bombs didn't stop the elderly man Yahya Maqaldeh from planting his land in Zububa village near Jenin. https://t.co/02aUyc8cA9",,"0","United States","English","2016-03-23 07:42:00","2016-03-23 07:43:00","808","941","1263","RETWEET","Right","0","1","RightTroll"
"7994","1660771422","GarrettSimpson_","Sanders Skips AIPAC, Addresses Israel on the Campaign Trail https://t.co/3657RdpMtY https://t.co/Y4r7M2WMs4",,"0","United States","English","2016-03-23 07:43:00","2016-03-23 07:43:00","808","941","1267","RETWEET","Right","0","1","RightTroll"
"8011","1660771422","GarrettSimpson_","#Israel-Funded #Agriculture Center in #Cambodia Will Teach Latest Methods https://t.co/6xaJX5jI0M",,"0","United States","English","2017-03-24 13:44:00","2017-03-24 13:44:00","1764","1709","4629","RETWEET","Right","0","1","RightTroll"
"8106","1660771422","GarrettSimpson_","When will the Palestinians finally accept the existence of a Jewish state?  Never  #BDS #BDSFail #ISRAEL #MAGA #Palestine https://t.co/GKzinsYtIE",,"0","United States","English","2017-03-28 20:13:00","2017-03-28 20:13:00","1762","1703","4715","RETWEET","Right","0","1","RightTroll"
"8306","1660771422","GarrettSimpson_","UNIVERSITY STUDENT SPEAKS OUT:  Say ""no"" to boycott against #Israel #BDSFAIL #BDS https://t.co/Z6V5ktLzdk",,"0","United States","English","2017-03-09 12:24:00","2017-03-09 12:24:00","1769","1699","4369","RETWEET","Right","0","1","RightTroll"
"8314","1660771422","GarrettSimpson_","It's a crazy notion to believe there can be peace between #israel &amp; a 'palestine' when the later was creating to destroy the other. #bds https://t.co/8yNNmr6v01",,"0","United States","English","2017-03-09 18:27:00","2017-03-09 18:27:00","1770","1699","4375","RETWEET","Right","0","1","RightTroll"
"8325","1660771422","GarrettSimpson_","""people gathered in Paris on Saturday to “celebrate Palestinian resistance to Israeli occupation"" https://t.co/szpy0Ukhvs",,"0","United States","English","2017-04-01 20:38:00","2017-04-01 20:38:00","1762","1704","4789","RETWEET","Right","0","1","RightTroll"
"8329","1660771422","GarrettSimpson_","#Israel, ""a country that'll truly convert you"" in @Thrillist's list of Countries You Should Visit Before Turning 30 https://t.co/eRJJ8taFz8",,"0","United States","English","2017-04-01 20:38:00","2017-04-01 20:38:00","1762","1704","4791","RETWEET","Right","0","1","RightTroll"
"8428","1660771422","GarrettSimpson_","MT @bcwilliams92: Ted Cruz: No US funding for UN until Israel vote 'reversed' https://t.co/nPpevFqtfb #PJNET",,"0","United States","English","2017-04-14 21:54:00","2017-04-14 21:54:00","1755","1694","5040","RETWEET","Right","0","1","RightTroll"
"8444","1660771422","GarrettSimpson_","Palestinian terrorist stabs British student to death on Jerusalem Light Rail https://t.co/hYs9r5Pk1O via @leginsurrection",,"0","United States","English","2017-04-15 03:55:00","2017-04-15 03:55:00","1754","1693","5034","RETWEET","Right","0","1","RightTroll"
"8523","1660771422","GarrettSimpson_","Great meeting with @SecShulkin where we discussed how US &amp; Israel can work together to improve lives of our veterans https://t.co/4PVsGexRta",,"0","United States","English","2017-04-02 20:45:00","2017-04-02 20:45:00","1762","1709","4810","RETWEET","Right","0","1","RightTroll"
"8529","1660771422","GarrettSimpson_","U Texas, San Antonio student Sarah Rafati says to Zionists she will be ""as abusive, and insulting as possible"" https://t.co/p0LchuhBgt https://t.co/U34oxebO1V",,"0","United States","English","2017-04-02 08:41:00","2017-04-02 08:42:00","1762","1707","4797","RETWEET","Right","0","1","RightTroll"
"8549","1660771422","GarrettSimpson_","USA &amp; ISRAEL, An alliance ordained by GOD!   https://t.co/t1ZJk4LPsx   #IStandWithIsrael #PJNET",,"0","United States","English","2017-04-21 16:35:00","2017-04-21 16:35:00","1752","1692","5146","RETWEET","Right","0","1","RightTroll"
"8594","1660771422","GarrettSimpson_","Photo: Israel comes to standstill moments ago as sirens sound in remembrance of the 6 million Jews murdered in the Holocaust. https://t.co/XAExf7AMR3",,"0","United States","English","2017-04-24 10:54:00","2017-04-24 10:54:00","1753","1696","5195","RETWEET","Right","0","1","RightTroll"
"8622","1660771422","GarrettSimpson_","I bet you never knew this Islamic law is still practiced in the middle East. World too busy attacking the only liberal democracy #israel https://t.co/CEKmIlNkAX",,"0","United States","English","2017-04-25 07:56:00","2017-04-25 07:57:00","1753","1698","5208","RETWEET","Right","0","1","RightTroll"
"8649","1660771422","GarrettSimpson_","Red Cross head says #Israel NOT violating human rights 'based on racial inferiority' and is NOT an apartheid state. https://t.co/dggkFkJeRR https://t.co/aLdVU7AZ7h",,"0","United States","English","2017-04-27 08:13:00","2017-04-27 08:13:00","1750","1693","5238","RETWEET","Right","0","1","RightTroll"
"8711","1660771422","GarrettSimpson_","Tonight marks the beginning of Yom Hazikaron, the Memorial Day for the Fallen Soldiers of Israel and Victims of Terrorism - @IDFSpokesperson https://t.co/NWFcMexDHU",,"0","United States","English","2017-04-30 14:40:00","2017-04-30 14:40:00","1748","1698","5303","RETWEET","Right","0","1","RightTroll"
"8859","1660771422","GarrettSimpson_","Israel Uses Weapons to Protect Its Civilians; Hamas Uses Civilians to Protect Its Weapons - https://t.co/HlvepAnflq",,"0","United States","English","2017-04-08 09:15:00","2017-04-08 09:15:00","1759","1701","4914","RETWEET","Right","0","1","RightTroll"
"8945","1660771422","GarrettSimpson_","Way to go Israel! https://t.co/SdlK7rUNcA",,"0","United States","English","2017-05-03 21:02:00","2017-05-03 21:02:00","1748","1700","5357","RETWEET","Right","0","1","RightTroll"
"8950","1660771422","GarrettSimpson_","""America and Israel are not merely countries. They are causes.""  @AmbDermer celebrating Israel's Independence Day. https://t.co/Pn8jKHlLrp",,"0","United States","English","2017-05-03 02:57:00","2017-05-03 02:57:00","1748","1704","5344","RETWEET","Right","0","1","RightTroll"
"8987","1660771422","GarrettSimpson_","'@Alice00581238 @IamDearborn @Lee40838353 @TakeTheirCoats @tbeaux29 @DorH84607784 @xrey1 @OneVoiceUS @gearmeister @Joseph64686625 @sillybot_ @yourhomiebrian @fullycucked @Kyle_AZ_ @Radical368 @RogueZionist7 @wink_nod @RZimms @AmericanRAH4 @RickMorty68 @mikeez3 @Rvndave @Lunaseesall @StevenStreets @PaschalSacks @ShariJordan15 @MarcusNoble16 @DBTayor @dodt2003 @TheMeemStreams @AshleyWarrior @VFL2013 @KNP2BP @Cory_1077 @LeahR77 @Pontifex @moonlitepath17 You know #germany is actually bringing over ALL the extended family and then taking care of the freeloaders at taxpayer expense WHOLE FAMS'",,"0","United States","English","2017-05-05 03:16:00","2017-05-05 03:16:00","1748","1699","5375","RETWEET","Right","0","1","RightTroll"
"9347","1660771422","GarrettSimpson_","""The Royal family"" of Sweden sold its subjects for oil There are no effective lobby in Sweden that fights for Israel https://t.co/M3SjbyGCo4",,"0","United States","English","2016-09-19 19:10:00","2016-09-19 19:10:00","1344","1588","1519","RETWEET","Right","0","1","RightTroll"
"9461","1660771422","GarrettSimpson_","Friends of Israel, we wish you a blessed New Year filled with miracles. May God's glory always shine upon you! https://t.co/KjicVPw3Hx",,"0","United States","English","2016-09-30 07:24:00","2016-09-30 07:24:00","1344","1612","1623","RETWEET","Right","0","1","RightTroll"
"10659","8.39000000000e+17","GattiSilgatti","Israel reportedly strikes pro-Assad militia in Syria https://t.co/1wi4dQ0K9j",,"0","Italy","English","2017-04-23 06:47:00","2017-04-23 06:47:00","383","56","1008","RETWEET","Italian","0","1","NonEnglish"
"14644","7.57000000000e+17","GeoreviewEurope","As a general rule the most successful man in life is the man who has the best information. - Benjamin Disraeli",,"0","United States","English","2016-11-25 18:01:00","2016-11-25 18:01:00","231","55","28",,"Right","0","0","RightTroll"
"17123","2583079101","Gibbs_Jeremy_","Still think #obama can reason w/them? #Iran Renews Vow to 'Annihilate' #Israel #pjnet #ccot #tcot https://t.co/XkX1aaCyog",,"0","United States","English","2016-02-10 12:17:00","2016-02-10 12:17:00","302","399","736",,"Right","0","0","RightTroll"
"17125","2583079101","Gibbs_Jeremy_","RT @Juliet777777: Hamas ""Merchants of War"" Seek to Destroy Israel",,"0","United States","English","2016-02-10 12:31:00","2016-02-10 12:31:00","302","399","738",,"Right","0","0","RightTroll"
"17126","2583079101","Gibbs_Jeremy_","RT @CruzCrewSue: MT @TeriGRight: The American People #StandWithIsrael #TedCruz will strengthen our bond. #CCOT https://t.co/OISazlUJlQ #Cru…",,"0","United States","English","2016-02-10 12:32:00","2016-02-10 12:32:00","302","399","739",,"Right","0","0","RightTroll"
